Gene_combination	Coverage_tumor	Coverage_normal
Gene413_Gene340	0.9624887285843102	0.1322722283205269
Gene413_Gene70	0.9624887285843102	0.13517327897130313
Gene413_Gene999	0.9624887285843102	0.09455856986043594
Gene885_Gene1172	0.9624887285843102	0.8141759448016309
Gene413_Gene324	0.9623083859332732	0.12490199153206837
Gene885_Gene2172	0.9623083859332732	0.889681668496158
Gene413_Gene633	0.9621280432822362	0.11008311118080602
Gene413_Gene313	0.9619477006311993	0.06946840206993884
Gene883_Gene947	0.9619477006311993	0.5693899952955935
Gene413_Gene2239	0.9617673579801623	0.11478751764152423
Gene883_Gene331	0.9615870153291254	0.8060216402697193
Gene885_Gene1564	0.9615870153291254	0.8732946526579897
Gene413_Gene492	0.9605049594229035	0.11016151795515132
Gene414_Gene1654	0.9605049594229035	0.0503371491296848
Gene186_Gene2210	0.9603246167718665	0.22675239140661754
Gene318_Gene2210	0.9603246167718665	0.6571271757879881
Gene414_Gene797	0.9603246167718665	0.07652501176101616
Gene885_Gene621	0.9601442741208296	0.8848988552610946
Gene414_Gene285	0.9597835888187556	0.0844440959698918
Gene885_Gene943	0.9597835888187556	0.8315822487062883
Gene883_Gene300	0.9596032461677186	0.31582248706288224
Gene318_Gene1172	0.9594229035166817	0.6090638231143171
Gene885_Gene310	0.9594229035166817	0.5114473890544143
Gene186_Gene1172	0.9592425608656447	0.21303120589618943
Gene186_Gene2172	0.9592425608656447	0.19076368198212326
Gene2044_Gene1654	0.9592425608656447	0.11659087345146621
Gene318_Gene2172	0.9592425608656447	0.6166692802258115
Gene2044_Gene797	0.9590622182146078	0.1466206680257174
Gene414_Gene947	0.9590622182146078	0.06907636819821232
Gene883_Gene321	0.9588818755635707	0.6132977889289635
Gene884_Gene2210	0.9588818755635707	0.9190058021013016
Gene414_Gene331	0.9587015329125338	0.0938529088913282
Gene186_Gene1564	0.9585211902614968	0.19303747843813707
Gene318_Gene1564	0.9585211902614968	0.5889132821075741
Gene885_Gene276	0.9585211902614968	0.6183158224870628
Gene2044_Gene285	0.9583408476104599	0.2632115414771836
Gene884_Gene1172	0.9579801623083859	0.8189587580366944
Gene2044_Gene947	0.957799819657349	0.16136114160263446
Gene884_Gene2172	0.957799819657349	0.8946212952799122
Gene884_Gene1564	0.9574391343552751	0.8779206523443626
Gene2044_Gene331	0.957258791704238	0.3013172338090011
Gene318_Gene621	0.957078449053201	0.6002038576132978
Gene186_Gene621	0.9568981064021641	0.2037792065234436
