"FALSE" "TRUE" "MeanDecreaseAccuracy" "MeanDecreaseGini"
"Gene1172" 0.652784913761691 3.43629349079136 3.43361147286336 0.756974453024388
"Gene375" 3.4342153050693 1.06050327702155 3.43354838376967 46.0120466747473
"Gene785" 2.84260112453041 2.31631144979349 3.42717492960163 9.50672987174259
"Gene133" 2.86489372889208 3.12076434670764 3.41452017811392 8.83146392212268
"Gene505" 4.32940605508849 2.85882278866122 3.41338470816146 260.926848226943
"Gene140" 2.83762612881045 2.83954820902749 3.39349759494132 6.42924899528648
"Gene2260" 1.10690313827026 3.21612799427755 3.36695253590039 7.41233227011994
"Gene1123" 2.90396903055243 3.17149693350071 3.36016741439362 8.09430627581965
"Gene1770" 3.36905485354911 2.4721267019704 3.34738927996427 99.2377942413026
"Gene898" 0.251747290654986 3.2704115240934 3.34580292245518 2.40787189460006
"Gene376" 3.26025710105967 1.56690501109745 3.34017032145878 64.0912258229782
"Gene546" 3.40462626655926 3.06005783064392 3.32994637668908 151.586973371435
"Gene1913" 3.04319729947583 2.51351940432047 3.30478686175869 54.814327479801
"Gene319" -1.21586092782444 3.29314309658748 3.27033642797907 3.47158197327749
"Gene2239" -0.389613763201551 3.26490641523793 3.26264799212882 3.33341584256031
"Gene318" 2.29305809826986 2.49633123468533 3.2522706468093 2.67414640352453
"Gene1936" 2.20049717173349 2.84836466710507 3.23652617958376 45.272003249646
"Gene1645" -2.40790631093495 3.24833474122277 3.22527323547763 8.2856983288175
"Gene276" -2.74062855887364 3.21071844105677 3.20263430672418 6.95018404611576
"Gene979" -0.642000420538478 3.20533066682377 3.19902751516158 1.42414529119219
"Gene1228" 2.11378079089543 2.39475594865667 3.19063554937983 3.7261582486021
"Gene924" 1.15449335050492 2.99890442164316 3.17301476423971 1.78256465419975
"Gene1264" 3.21789413460698 0.953584933802555 3.17061638422655 3.20581321422976
"Gene1595" 2.42773224946612 2.77550950824486 3.15004183187636 11.6976297956107
"Gene80" -2.43764669375909 3.23673455568598 3.14971628436699 30.8510995610553
"Gene170" -2.5441841852219 3.27635196565344 3.14786453812759 8.28324267474263
"Gene404" 1.53258882286697 3.02909926505895 3.13726036879639 2.47602566861366
"Gene2077" 1.25266251488863 2.75495656384281 3.13680601459402 2.08479986040681
"Gene506" 2.15344257365118 2.96071182067819 3.13257794207549 5.32640055086778
"Gene1100" 2.51682571231393 3.04585636187502 3.10605286784782 6.36053579260862
